Płeć,Kategoria wiekowa,5 km Czas,5 km Tempo,10 km Czas,10 km Tempo,15 km Czas,15 km Tempo,20 km Czas,20 km Tempo,Czas,Tempo,Wiek
M,M30,1140.0,3.8,2261.0,3.7366666666666655,3433.0,3.9066666666666663,4735.0,4.34,4973.0,3.9290511179584415,39.0
M,M30,1163.0,3.8766666666666665,2301.0,3.793333333333333,3468.0,3.89,4737.0,4.23,4974.0,3.929841194595876,40.0
M,M30,1133.0,3.7766666666666655,2265.0,3.773333333333333,3460.0,3.983333333333333,4747.0,4.29,4974.0,3.929841194595876,40.0
K,K30,1139.0,3.796666666666667,2279.0,3.8,3457.0,3.9266666666666663,4743.0,4.286666666666666,4977.0,3.932211424508177,31.0
M,M30,1127.0,3.756666666666667,2246.0,3.73,3426.0,3.933333333333333,4744.0,4.3933333333333335,4983.0,3.936951884332781,39.0
M,M30,1183.0,3.943333333333333,2318.0,3.783333333333333,3500.0,3.94,4768.0,4.226666666666667,4984.0,3.9377419609702144,38.0
M,M50,1169.0,3.896666666666667,2330.0,3.87,3512.0,3.94,4767.0,4.183333333333334,4986.0,3.939322114245082,52.0
M,M30,1175.0,3.9166666666666665,2308.0,3.7766666666666655,3481.0,3.91,4763.0,4.2733333333333325,4995.0,3.9464328039819865,31.0
M,M40,1144.0,3.8133333333333335,2288.0,3.8133333333333335,3484.0,3.9866666666666655,4770.0,4.286666666666666,4996.0,3.947222880619421,49.0
M,M30,1158.0,3.86,2296.0,3.793333333333333,3483.0,3.9566666666666666,4764.0,4.27,4998.0,3.948803033894288,37.0
M,M40,1193.0,3.9766666666666666,2346.0,3.843333333333333,3534.0,3.96,4786.0,4.173333333333334,5003.0,3.952753417081457,44.0
M,M30,1179.0,3.93,2334.0,3.85,3531.0,3.99,4801.0,4.233333333333333,5020.0,3.966184719917832,35.0
M,M30,1103.0,3.6766666666666663,2223.0,3.733333333333333,3436.0,4.043333333333333,4774.0,4.46,5022.0,3.9677648731927,34.0
M,M40,1155.0,3.85,2304.0,3.83,3509.0,4.016666666666667,4800.0,4.303333333333333,5025.0,3.9701351031050014,42.0
M,M50,1180.0,3.933333333333333,2329.0,3.83,3530.0,4.003333333333333,4800.0,4.233333333333333,5025.0,3.9701351031050014,54.0
M,M30,1129.0,3.7633333333333336,2272.0,3.81,3476.0,4.013333333333334,4788.0,4.373333333333333,5028.0,3.972505333017303,38.0
M,M40,1136.0,3.786666666666666,2275.0,3.796666666666667,3478.0,4.01,4793.0,4.383333333333334,5030.0,3.97408548629217,47.0
M,M30,1137.0,3.79,2267.0,3.7666666666666666,3466.0,3.996666666666667,4789.0,4.41,5031.0,3.974875562929604,31.0
M,M30,1141.0,3.803333333333333,2289.0,3.826666666666666,3490.0,4.003333333333333,4805.0,4.383333333333334,5032.0,3.9756656395670382,36.0
M,M40,1152.0,3.84,2307.0,3.85,3507.0,4.0,4802.0,4.316666666666666,5035.0,3.97803586947934,43.0
M,M40,1128.0,3.76,2268.0,3.8,3475.0,4.023333333333333,4795.0,4.4,5035.0,3.97803586947934,46.0
M,M30,1166.0,3.8866666666666654,2322.0,3.853333333333333,3521.0,3.996666666666667,4809.0,4.293333333333334,5041.0,3.982776329303943,37.0
M,M30,1158.0,3.86,2302.0,3.8133333333333335,3496.0,3.98,4802.0,4.3533333333333335,5043.0,3.98435648257881,35.0
M,M20,1171.0,3.903333333333333,2333.0,3.8733333333333335,3540.0,4.023333333333333,4812.0,4.24,5047.0,3.987516789128546,23.0
M,M40,1132.0,3.773333333333333,2270.0,3.793333333333333,3455.0,3.95,4797.0,4.473333333333333,5051.0,3.990677095678281,42.0
M,M50,1201.0,4.003333333333333,2384.0,3.943333333333333,3591.0,4.023333333333333,4851.0,4.2,5061.0,3.99857786205262,51.0
M,M20,1162.0,3.8733333333333335,2302.0,3.8,3496.0,3.98,4805.0,4.363333333333333,5063.0,4.000158015327487,30.0
M,M40,1212.0,4.04,2386.0,3.9133333333333336,3598.0,4.04,4847.0,4.163333333333333,5069.0,4.00489847515209,48.0
M,M30,1132.0,3.773333333333333,2266.0,3.78,3480.0,4.046666666666667,4826.0,4.486666666666666,5075.0,4.009638934976693,37.0
M,M30,1149.0,3.83,2318.0,3.896666666666667,3547.0,4.096666666666667,4847.0,4.333333333333333,5080.0,4.013589318163862,39.0
M,M40,1143.0,3.81,2293.0,3.8333333333333335,3500.0,4.023333333333333,4841.0,4.47,5087.0,4.019119854625899,45.0
M,M40,1144.0,3.8133333333333335,2285.0,3.803333333333333,3501.0,4.053333333333333,4847.0,4.486666666666666,5090.0,4.0214900845382,46.0
M,M20,1161.0,3.87,2316.0,3.85,3518.0,4.006666666666667,4844.0,4.42,5091.0,4.022280161175634,24.0
M,M20,1202.0,4.006666666666667,2358.0,3.853333333333333,3549.0,3.97,4857.0,4.36,5091.0,4.022280161175634,24.0
M,M40,1174.0,3.9133333333333336,2341.0,3.89,3566.0,4.083333333333333,4859.0,4.3100000000000005,5091.0,4.022280161175634,50.0
M,M30,1166.0,3.8866666666666654,2333.0,3.89,3556.0,4.076666666666666,4860.0,4.346666666666667,5093.0,4.023860314450502,38.0
M,M20,1199.0,3.996666666666667,2382.0,3.943333333333333,3593.0,4.036666666666666,4876.0,4.276666666666667,5093.0,4.023860314450502,30.0
M,M30,1191.0,3.97,2364.0,3.91,3578.0,4.046666666666667,4862.0,4.28,5094.0,4.024650391087936,36.0
M,M30,1182.0,3.94,2355.0,3.91,3576.0,4.069999999999999,4864.0,4.293333333333334,5094.0,4.024650391087936,36.0
M,M30,1179.0,3.93,2355.0,3.92,3561.0,4.02,4850.0,4.296666666666667,5095.0,4.025440467725369,35.0
M,M20,1193.0,3.9766666666666666,2376.0,3.943333333333333,3589.0,4.043333333333333,4870.0,4.27,5098.0,4.027810697637671,28.0
M,M40,1178.0,3.9266666666666663,2326.0,3.826666666666666,3539.0,4.043333333333333,4864.0,4.416666666666667,5100.0,4.029390850912539,41.0
M,M30,1202.0,4.006666666666667,2381.0,3.93,3590.0,4.03,4864.0,4.246666666666667,5102.0,4.030971004187406,36.0
M,M40,1147.0,3.823333333333333,2300.0,3.843333333333333,3524.0,4.08,4863.0,4.463333333333334,5104.0,4.032551157462274,45.0
M,M40,1145.0,3.816666666666667,2292.0,3.823333333333333,3497.0,4.016666666666667,4851.0,4.513333333333334,5106.0,4.034131310737141,44.0
K,K20,1188.0,3.96,2376.0,3.96,3588.0,4.04,4886.0,4.326666666666667,5112.0,4.0388717705617445,23.0
M,M20,1130.0,3.7666666666666666,2272.0,3.806666666666666,3495.0,4.076666666666666,4868.0,4.576666666666667,5115.0,4.041242000474046,27.0
M,M40,1189.0,3.963333333333333,2364.0,3.9166666666666665,3585.0,4.069999999999999,4887.0,4.34,5118.0,4.043612230386348,44.0
M,M20,1202.0,4.006666666666667,2374.0,3.9066666666666663,3588.0,4.046666666666667,4884.0,4.319999999999999,5118.0,4.043612230386348,24.0
M,M40,1201.0,4.003333333333333,2373.0,3.9066666666666663,3603.0,4.1,4892.0,4.296666666666667,5119.0,4.044402307023781,49.0
M,M40,1163.0,3.8766666666666665,2340.0,3.923333333333333,3568.0,4.093333333333333,4885.0,4.39,5119.0,4.044402307023781,47.0
M,M30,1166.0,3.8866666666666654,2341.0,3.9166666666666665,3570.0,4.096666666666667,4881.0,4.37,5123.0,4.0475626135735165,31.0
M,M40,1163.0,3.8766666666666665,2325.0,3.8733333333333335,3539.0,4.046666666666667,4873.0,4.446666666666667,5124.0,4.048352690210951,42.0
M,M30,1224.0,4.08,2395.0,3.903333333333333,3621.0,4.086666666666667,4900.0,4.263333333333334,5128.0,4.051512996760686,34.0
M,M20,1171.0,3.903333333333333,2335.0,3.88,3551.0,4.053333333333333,4882.0,4.4366666666666665,5130.0,4.053093150035553,30.0
M,M40,1181.0,3.9366666666666665,2353.0,3.9066666666666663,3579.0,4.086666666666667,4891.0,4.373333333333333,5131.0,4.053883226672988,44.0
M,M40,1171.0,3.903333333333333,2344.0,3.91,3571.0,4.09,4892.0,4.403333333333333,5132.0,4.054673303310421,43.0
M,M20,1170.0,3.9,2337.0,3.89,3554.0,4.056666666666667,4898.0,4.48,5133.0,4.055463379947855,29.0
M,M40,1214.0,4.046666666666667,2395.0,3.9366666666666665,3599.0,4.013333333333334,4909.0,4.366666666666666,5133.0,4.055463379947855,42.0
M,M50,1130.0,3.7666666666666666,2317.0,3.9566666666666666,3548.0,4.1033333333333335,4889.0,4.47,5134.0,4.0562534565852895,51.0
M,M40,1134.0,3.78,2306.0,3.9066666666666663,3548.0,4.14,4895.0,4.489999999999999,5134.0,4.0562534565852895,43.0
K,K20,1171.0,3.903333333333333,2325.0,3.8466666666666662,3546.0,4.069999999999999,4890.0,4.48,5135.0,4.057043533222723,27.0
M,M30,1144.0,3.8133333333333335,2320.0,3.92,3561.0,4.136666666666667,4901.0,4.466666666666667,5137.0,4.058623686497591,36.0
K,K30,1181.0,3.9366666666666665,2369.0,3.96,3613.0,4.1466666666666665,4918.0,4.35,5140.0,4.060993916409892,34.0
M,M30,1202.0,4.006666666666667,2378.0,3.92,3603.0,4.083333333333333,4909.0,4.3533333333333335,5142.0,4.06257406968476,38.0
M,M20,1133.0,3.7766666666666655,2294.0,3.87,3535.0,4.136666666666667,4891.0,4.52,5142.0,4.06257406968476,30.0
M,M30,1175.0,3.9166666666666665,2351.0,3.92,3578.0,4.09,4905.0,4.423333333333333,5145.0,4.0649442995970615,34.0
M,M30,1125.0,3.75,2289.0,3.88,3509.0,4.066666666666666,4877.0,4.5600000000000005,5148.0,4.067314529509363,40.0
M,M40,1175.0,3.9166666666666665,2339.0,3.88,3549.0,4.033333333333333,4902.0,4.510000000000001,5149.0,4.068104606146796,42.0
M,M40,1182.0,3.94,2371.0,3.963333333333333,3615.0,4.1466666666666665,4920.0,4.35,5153.0,4.071264912696532,44.0
M,M30,1205.0,4.016666666666667,2374.0,3.896666666666667,3590.0,4.053333333333333,4920.0,4.433333333333334,5155.0,4.072845065971399,38.0
M,M40,1192.0,3.9733333333333336,2367.0,3.9166666666666665,3588.0,4.069999999999999,4918.0,4.433333333333334,5160.0,4.076795449158569,50.0
M,M40,1172.0,3.9066666666666663,2340.0,3.893333333333333,3576.0,4.12,4926.0,4.5,5166.0,4.081535908983172,44.0
K,K20,1168.0,3.893333333333333,2350.0,3.94,3585.0,4.116666666666666,4922.0,4.456666666666666,5169.0,4.083906138895474,25.0
M,M30,1198.0,3.993333333333333,2382.0,3.9466666666666663,3609.0,4.09,4939.0,4.433333333333334,5173.0,4.087066445445208,31.0
M,M30,1210.0,4.033333333333333,2395.0,3.95,3630.0,4.116666666666666,4942.0,4.373333333333333,5178.0,4.091016828632378,40.0
K,K30,1143.0,3.81,2287.0,3.8133333333333335,3508.0,4.069999999999999,4925.0,4.723333333333333,5182.0,4.094177135182113,35.0
M,M30,1220.0,4.066666666666666,2401.0,3.9366666666666665,3624.0,4.076666666666666,4948.0,4.413333333333333,5187.0,4.0981275183692825,36.0
M,M20,1131.0,3.77,2288.0,3.856666666666667,3539.0,4.17,4929.0,4.633333333333334,5189.0,4.09970767164415,30.0
